ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000227232.5,WASH7P,75.51344214,51.97532277,127.1480184,97.1728793,78.29982631,166.4876672,114.7300153,133.0624181,29.38384754,96.83413235
ENSG00000278267.1,MIR6859-1,6.864858376,6.853888717,22.43788559,13.71852414,5.931805024,3.264464062,12.21976494,2.816135832,2.555117177,5.78114223
ENSG00000268903.1,processed_pseudogene,51.48643782,19.41935137,44.87577118,60.59014827,0,0,42.09030147,40.83396956,29.38384754,67.9284212
ENSG00000269981.1,processed_pseudogene*1,48.05400863,26.84439748,89.75154237,84.5975655,0,4.352618749,67.20870718,43.6501054,48.54722637,62.14727897
ENSG00000279457.4,WASH9P,66.58912625,110.2333769,158.9350229,174.9111827,84.23163134,136.0193359,97.75811953,101.38089,106.0373629,56.36613674
ENSG00000290385.1,lncRNA*8,15.78917427,12.56546265,14.95859039,32.00988965,8.304527033,11.96970156,8.146509961,7.04033958,25.55117177,14.45285557
ENSG00000230021.10,transcribed_processed_pseudogene*1,13.72971675,6.853888717,9.349118997,11.43210345,15.42269306,13.05785625,10.86201328,8.448407496,8.94291012,17.34342669
ENSG00000225972.1,MTND1P23,287.637566,133.0796726,215.0297369,145.1877138,164.9041797,130.5785625,18690.13048,12786.66475,204.4093742,212.456977
ENSG00000225630.1,MTND2P28,2675.921795,1491.863111,2232.569616,1703.383414,1568.369248,1277.493603,1932.759488,1440.453478,2017.265011,1806.606947
ENSG00000237973.1,MTCO1P12,6010.869994,4524.137711,4401.565224,3258.149482,4569.86259,3879.27146,217513.1737,172117.2938,4760.183301,4987.680459
ENSG00000229344.1,MTCO2P12,352.8537205,221.6090685,430.0594739,299.5211103,323.8765543,268.7742078,497.6159835,354.8331148,272.1199794,263.0419715
ENSG00000240409.1,MTATP8P1,13.04323092,7.42504611,9.349118997,4.572841379,9.490888038,20.67493906,15.61414409,21.8250527,8.94291012,10.1169989
ENSG00000248527.1,MTATP6P1,86426.5075,55888.32207,85838.00116,71067.67108,62298.18908,53027.95422,97944.81039,88792.05875,67893.29608,75237.23027
ENSG00000198744.5,MTCO3P12,741.4047047,564.3035044,398.2724693,418.4149861,519.6261201,510.3445484,593.3374755,499.1600762,563.4033376,595.4576497
ENSG00000291215.1,lncRNA*10,106.4053048,74.2504611,106.5799566,84.5975655,90.16343636,122.9614797,64.49320386,71.10742976,77.93107391,67.9284212
ENSG00000237491.10,LINC01409,12.35674508,9.709675683,9.349118997,14.86173448,18.98177608,29.38017656,8.825385791,7.04033958,16.60826165,8.671713345
ENSG00000225880.6,LINC00115,7.551344214,17.70587919,14.95859039,22.86420689,21.35449809,28.29202187,4.073254981,10.56050937,10.22046871,2.890571115
ENSG00000228794.12,LINC01128,231.3457273,323.8462419,259.9055081,290.3754275,298.9629732,305.7714671,335.3646601,341.4564696,264.4546278,254.3702581
ENSG00000223764.2,LINC02593,21.28106097,13.13662004,1.869823799,4.572841379,26.0999421,18.49862969,21.04515073,28.16135832,24.27361318,11.56228446
ENSG00000187634.13,SAMD11,29.51889102,16.5635644,5.609471398,2.286420689,9.490888038,15.23416562,42.7691773,21.12101874,12.77558589,8.671713345
ENSG00000188976.11,NOC2L,2741.824436,3028.276498,3146.913454,2967.774055,2621.85782,3951.08967,3632.664567,3873.594837,2659.876982,3380.522919
ENSG00000187961.15,KLHL17,615.0913105,541.4572087,706.7933962,583.0372758,577.7578093,674.6559062,482.0018394,389.3307788,493.1376152,437.9215239
ENSG00000187583.11,PLEKHN1,851.2424387,537.4591069,895.6455999,741.9435137,542.1669792,706.2123921,785.4593354,730.7872484,548.0726345,1056.503743
ENSG00000272512.1,lncRNA*17,559.4859577,492.3376728,833.9414145,417.2717758,221.8495079,395.0001515,82.14397544,37.31379977,413.9289827,476.944234
ENSG00000188290.11,HES4,2732.90012,2070.44555,3436.736143,1775.405665,1178.056478,2140.40027,2206.346448,1855.129479,2251.058233,2825.533265
ENSG00000187608.10,ISG15,609.5994238,261.590086,409.4914121,307.5235827,150.6678476,200.2204625,236.9276647,200.649678,794.6414421,241.3626881
ENSG00000188157.15,AGRN,16122.1199,13630.67119,16069.26573,15120.10002,11769.88753,13665.04656,16466.13326,12810.6019,15659.03562,19152.92421
ENSG00000291156.1,lncRNA*20,24.71349016,14.85009222,18.69823799,20.5777862,30.84538612,17.410475,13.5775166,12.67261124,20.44093742,40.46799561
ENSG00000237330.3,RNF223,139.356625,129.0815708,157.0651991,109.7481931,85.41799234,166.4876672,161.5724476,154.8874708,123.9231831,121.4039868
ENSG00000131591.18,C1orf159,607.5399663,442.6469796,527.2903114,492.7236585,535.0488131,611.5429343,505.0836176,513.9447893,508.4683183,553.5443685
ENSG00000207730.3,MIR200B,15.78917427,18.27703658,16.82841419,8.002472413,27.28630311,47.87880624,14.93526826,16.19278103,26.82873036,18.78871225
ENSG00000207607.3,MIR200A,41.18915026,39.98101752,43.00594739,26.29383793,17.79541507,96.84576717,43.44805313,40.12993561,30.66140613,18.78871225
ENSG00000198976.1,MIR429,68.64858376,37.12523055,46.74559498,52.58767585,84.23163134,88.14052968,54.98894224,32.38556207,48.54722637,50.58499451
ENSG00000272141.1,lncRNA*23,350.794263,213.0417076,250.5563891,165.7655,360.6537454,372.1489031,294.6321103,133.766452,362.8266392,163.317268
ENSG00000162571.14,TTLL10,119.4485357,266.1593452,0,3.429631034,5.931805024,18.49862969,6.788758301,9.856475412,215.9074015,2.890571115
ENSG00000078808.20,SDF4,5149.330268,5558.50375,5198.110162,4932.952637,4038.37286,4881.461927,5562.708552,6151.144691,5420.681092,6008.052063
ENSG00000176022.7,B3GALT6,759.9398223,704.2370657,675.0063916,698.5015206,527.9306471,713.8294749,754.9099231,811.0471196,854.6866958,745.7673477
ENSG00000184163.3,C1QTNF12,27.45943351,15.99240701,22.43788559,34.29631034,3.559083014,26.1157125,23.76065405,36.60976582,19.16337883,66.48313564
ENSG00000160087.21,UBE2J2,1366.793303,1338.221772,1385.539435,1418.724038,1366.687877,1556.061203,1561.414409,1797.398695,1400.204213,1860.082512
ENSG00000230415.1,LINC01786,12.35674508,9.13851829,14.95859039,13.71852414,16.60905407,22.85124843,10.18313745,3.52016979,26.82873036,5.78114223
ENSG00000162572.21,SCNN1D,61.78372539,46.83490623,50.48524258,35.43952068,77.11346531,113.1680875,57.70444556,33.79362998,106.0373629,33.24156782
ENSG00000131584.19,ACAP3,2811.159505,2710.14183,2671.978209,2209.825596,2593.385156,4190.483701,2735.869595,2528.889977,2516.79042,2792.291697
ENSG00000169972.13,PUSL1,442.0968794,415.8025822,411.3612359,376.1162034,457.9353478,598.485078,527.48652,550.5545551,421.5943342,424.9139539
ENSG00000127054.22,INTS11,2009.344047,2013.900968,1748.285252,1813.131607,2118.840754,2344.973351,1974.170914,2108.581704,1888.231594,1653.406678
ENSG00000240731.1,lncRNA*25,48.74049447,38.83870273,65.44383298,44.58520344,40.33627416,50.05511562,42.09030147,23.93715457,58.76769508,50.58499451
ENSG00000224051.7,CPTP,945.9774843,1083.485575,991.0066137,869.9830723,892.1434756,1168.678134,1112.677486,1171.512506,1151.080288,1016.035747
ENSG00000169962.5,TAS1R3,13.72971675,7.996203503,18.69823799,13.71852414,22.54085909,40.26172343,22.40290239,14.78471312,8.94291012,13.00757002
ENSG00000107404.21,DVL1,2451.440926,2625.610536,2636.451557,2412.173827,1806.82781,3392.866315,3323.776064,3732.084011,2260.001143,2339.917318
ENSG00000175756.14,AURKAIP1,1643.447095,1824.276714,1890.391861,1478.170976,1392.78782,1941.267962,1739.958753,1997.344339,1871.623332,1883.207081
ENSG00000221978.13,CCNL2,8533.018962,6528.329003,8352.502912,6814.676864,7656.773925,7368.983543,6028.417371,4296.015212,8006.459675,7084.789803
ENSG00000224870.9,MRPL20-AS1,451.7076812,612.8518828,458.1068308,440.1359827,296.5902512,551.6944265,519.34001,612.5095435,526.3541385,494.2876607
ENSG00000242485.6,MRPL20,1200.66373,1231.986497,1121.89428,1144.353555,1235.001806,1204.587239,1181.243944,1329.216113,1369.542807,1316.655143
ENSG00000272455.1,MRPL20-DT,35.69726356,31.41365662,33.65682839,26.29383793,46.26807919,38.08541406,25.11840571,23.23312061,35.77164048,17.34342669
ENSG00000235098.9,ANKRD65,1517.133701,2260.640962,891.9059523,627.6224792,970.4433019,1919.504869,1708.730464,1475.655176,1520.29472,604.129363
ENSG00000225905.1,ANKRD65-AS1,13.04323092,11.99430525,16.82841419,2.286420689,22.54085909,38.08541406,6.109882471,11.26454333,14.05314447,7.226427787
ENSG00000225285.1,LINC01770,21.9675468,22.84629572,7.479295197,4.572841379,23.7272201,34.82095,16.97189575,17.60084895,14.05314447,5.78114223
ENSG00000179403.12,VWA1,3275.910417,5003.909921,2077.374241,1479.314186,2754.730253,4335.208274,5504.32523,5534.410944,4148.232737,2003.165783
ENSG00000215915.10,ATAD3C,85.81072971,101.0948586,67.31365678,35.43952068,73.55438229,55.49588906,92.32711289,58.43481851,137.9763276,36.13213894
ENSG00000160072.20,ATAD3B,1084.647623,951.5482169,1243.432827,1204.943703,902.8207246,1267.700211,934.1331422,790.6301348,1014.381519,1065.175456
ENSG00000197785.14,ATAD3A,852.6154104,1120.610805,1194.817408,1128.34861,683.3439387,1008.719395,807.8622378,960.3023187,1020.769312,1026.152746
