GeneIds,Gene,TA003_ntCtrl_O2_1,TA003_ntCtrl_O2_2,TA012_ntCtrl_O2,TA020_ntCtrl_O2,TA034_ntCtrl_O2_1,TA034_ntCtrl_O2_2,TA039_ntCtrl_O2,TA003_ntCtrl_RA_1,TA003_ntCtrl_RA_2,TA012_ntCtrl_RA,TA020_ntCtrl_RA,TA034_ntCtrl_RA_1,TA034_ntCtrl_RA_2,TA039_ntCtrl_RA
ENSG00000290825.1,DDX11L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223972.6,DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232.5,WASH7P,46,64,68,66,65,104,23,41,50,85,153,92,97,67
ENSG00000278267.1,MIR6859-1,4,6,12,5,7,11,2,4,8,12,3,2,2,4
ENSG00000243485.5,MIR1302-2HG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613.2,FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020.3,OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290826.1,lncRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361.3,OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092.7,OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009.6,lncRNA*1,0,0,2,0,1,5,1,2,0,10,0,1,1,2
ENSG00000239945.1,lncRNA*2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750.3,CICP27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268903.1,processed_pseudogene,36,39,24,0,27,35,23,17,17,53,0,25,33,47
ENSG00000269981.1,processed_pseudogene*1,46,24,48,0,48,51,38,20,27,74,4,23,39,43
ENSG00000239906.1,lncRNA*3,0,0,0,0,1,0,0,0,0,0,0,1,1,0
ENSG00000241860.7,lncRNA*4,0,5,4,9,3,3,4,7,5,13,6,2,3,4
ENSG00000222623.1,RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599.1,lncRNA*5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928.2,DDX11L17,0,0,0,0,1,0,0,0,0,0,3,0,0,0
ENSG00000279457.4,WASH9P,10,87,85,71,65,79,83,96,97,153,125,81,63,39
ENSG00000273874.1,MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463.10,transcribed_processed_pseudogene,6,5,4,5,2,5,3,5,9,5,8,2,9,5
ENSG00000286448.1,lncRNA*6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679.2,RPL23AP24,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000236601.2,lncRNA*7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290385.1,lncRNA*8,7,16,8,7,4,8,20,7,15,28,11,2,8,10
ENSG00000269732.1,WBP1LP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733.2,OR4F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094.13,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653.3,CICP7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575.1,unprocessed_pseudogene,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000278757.1,U6,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000230021.10,transcribed_processed_pseudogene*1,9,11,5,13,8,8,7,3,9,10,12,4,8,12
ENSG00000235146.2,lncRNA*9,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000225972.1,MTND1P23,252,167,115,139,12651,14880,160,118,115,127,120,9487,8675,147
ENSG00000225630.1,MTND2P28,2036,1862,1194,1322,1324,1523,1579,1186,1426,1490,1174,1030,1016,1250
ENSG00000237973.1,MTCO1P12,4462,4294,2354,3852,143518,176884,3726,3922,3999,2850,3565,124859,119614,3451
ENSG00000278791.1,miRNA,0,0,0,0,26,42,0,1,0,1,0,53,62,0
ENSG00000229344.1,MTCO2P12,267,247,230,273,371,362,213,211,177,262,247,258,246,182
ENSG00000240409.1,MTATP8P1,10,9,5,8,16,7,7,5,8,4,19,17,14,7
ENSG00000248527.1,MTATP6P1,71845,54052,45907,52512,66994,77281,53143,49239,48612,62165,48732,63518,62601,52057
ENSG00000198744.5,MTCO3P12,558,522,213,438,409,465,441,482,506,366,469,333,376,412
ENSG00000268663.1,WBP1LP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662.2,OR4F16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376.3,CICP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000291215.1,lncRNA*10,55,100,57,76,32,63,61,57,73,74,113,48,53,47
ENSG00000223181.1,RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905.1,lncRNA*11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228327.6,transcribed_unprocessed_pseudogene*1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491.10,LINC01409,0,18,5,16,7,6,13,6,11,13,27,4,6,6
ENSG00000285268.1,transcribed_processed_pseudogene*2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000290784.1,lncRNA*12,1,2,2,4,1,3,5,9,1,1,6,3,4,1
ENSG00000230092.8,transcribed_unprocessed_pseudogene*2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177757.2,FAM87B,0,0,0,1,0,0,0,0,1,0,0,0,0,0
ENSG00000225880.6,LINC00115,4,7,8,18,3,3,8,11,20,20,26,5,10,2
ENSG00000228794.12,LINC01128,155,182,139,252,254,240,207,260,307,254,281,234,251,176
ENSG00000288531.1,lncRNA*13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230368.2,FAM41C,1,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234711.1,TUBB8P11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000283040.1,transcribed_unprocessed_pseudogene*3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438.1,lncRNA*14,0,4,0,4,0,3,4,0,0,1,1,0,0,0
ENSG00000230699.2,lncRNA*15,0,7,0,2,0,4,5,1,3,2,11,4,2,0
ENSG00000241180.1,lncRNA*16,0,0,0,0,0,0,0,1,0,0,1,0,0,0
ENSG00000223764.2,LINC02593,15,16,1,22,16,15,19,16,7,4,17,15,25,8
ENSG00000187634.13,SAMD11,12,31,3,8,24,39,10,15,14,2,14,12,18,6
ENSG00000188976.11,NOC2L,1661,2333,1683,2210,2517,2834,2082,2347,2955,2596,3631,2706,2796,2339
ENSG00000187961.15,KLHL17,345,551,378,487,313,397,386,396,552,510,620,198,355,303
ENSG00000187583.11,PLEKHN1,809,431,479,457,491,666,429,437,504,649,649,496,542,731
ENSG00000187642.10,PERM1,0,14,0,0,0,0,4,3,11,0,5,0,1,0
ENSG00000272512.1,lncRNA*17,332,483,446,187,57,64,324,330,532,365,363,23,30,330
ENSG00000188290.11,HES4,1739,2242,1838,993,1584,1666,1762,1774,1851,1553,1967,1387,1248,1955
ENSG00000187608.10,ISG15,162,726,219,127,137,212,622,212,246,269,184,152,133,167
ENSG00000231702.2,processed_pseudogene*2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969.1,lncRNA*18,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000188157.15,AGRN,11548,11937,8594,9921,11130,13125,12257,10781,13084,13226,12558,9001,9195,13252
ENSG00000242590.1,lncRNA*19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000291156.1,lncRNA*20,28,8,10,26,10,10,16,13,13,18,16,7,11,28
ENSG00000273443.1,lncRNA*21,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ENSG00000217801.13,transcribed_unprocessed_pseudogene*4,5,7,1,1,3,1,1,3,2,2,3,4,3,6
ENSG00000237330.3,RNF223,142,61,84,72,111,127,97,109,117,96,153,125,95,84
ENSG00000131591.18,C1orf159,420,465,282,451,357,387,398,347,428,431,562,372,358,383
ENSG00000285812.1,lncRNA*22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223823.1,LINC01342,0,2,0,0,1,0,0,0,1,0,3,0,0,0
ENSG00000207730.3,MIR200B,4,19,9,23,8,14,21,14,18,7,44,5,18,13
ENSG00000207607.3,MIR200A,3,57,23,15,27,37,24,24,46,23,89,15,42,13
ENSG00000198976.1,MIR429,33,67,25,71,22,59,38,27,38,46,81,9,37,35
ENSG00000272141.1,lncRNA*23,121,390,134,304,177,257,284,138,235,145,342,64,126,113
ENSG00000205231.1,TTLL10-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162571.14,TTLL10,8,166,0,5,5,5,169,204,262,3,17,5,9,2
ENSG00000186891.14,TNFRSF18,2,9,0,1,2,1,5,10,7,5,14,4,1,4
ENSG00000186827.12,TNFRSF4,0,1,0,0,2,0,2,0,1,1,1,1,0,1
ENSG00000078808.20,SDF4,3575,3926,2780,3404,3939,4255,4243,4457,5275,4315,4486,4239,4498,4157
ENSG00000176022.7,B3GALT6,459,648,361,445,570,542,669,593,640,611,656,586,566,516
ENSG00000184163.3,C1QTNF12,20,20,12,3,17,18,15,7,21,30,24,35,17,46
ENSG00000260179.1,lncRNA*24,0,6,3,5,5,7,5,2,7,2,5,2,3,1
ENSG00000160087.21,UBE2J2,993,998,741,1152,1110,1190,1096,1115,1228,1241,1430,1293,1260,1287
ENSG00000230415.1,LINC01786,3,15,8,14,6,9,21,9,7,12,21,0,5,4
ENSG00000162572.21,SCNN1D,14,76,27,65,35,50,83,36,46,31,104,25,23,23
ENSG00000131584.19,ACAP3,1438,2657,1429,2186,1773,2257,1970,2073,2672,1933,3851,1573,2019,1932
ENSG00000278073.1,MIR6726,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000169972.13,PUSL1,301,343,220,386,356,421,330,365,363,329,550,392,390,294
ENSG00000127054.22,INTS11,1264,1663,935,1786,1397,1511,1478,1589,1937,1586,2155,1390,1605,1144
ENSG00000283712.1,MIR6727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240731.1,lncRNA*25,29,42,35,34,20,42,46,22,46,39,46,8,26,35
ENSG00000224051.7,CPTP,672,706,530,752,774,865,901,944,953,761,1074,843,821,703
ENSG00000169962.5,TAS1R3,8,12,10,19,16,17,7,7,7,12,37,13,8,9
ENSG00000107404.21,DVL1,1313,2258,1410,1523,2420,2476,1769,2124,2473,2110,3118,2553,2748,1619
ENSG00000284372.1,MIR6808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,MXRA8,2,4,0,2,6,1,4,3,5,2,5,5,1,4
ENSG00000175756.14,AURKAIP1,900,1494,1011,1174,1261,1302,1465,1603,1591,1293,1784,1461,1376,1303
ENSG00000223663.2,NDUFB4P8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000221978.13,CCNL2,5009,7421,4467,6454,3994,4886,6267,4786,6644,5961,6772,2522,3580,4902
ENSG00000224870.9,MRPL20-AS1,232,426,245,250,378,387,412,456,617,385,507,440,430,342
ENSG00000242485.6,MRPL20,832,917,600,1041,851,889,1072,960,1197,1001,1107,923,965,911
ENSG00000264293.2,RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,MRPL20-DT,13,39,18,39,14,23,28,22,33,23,35,13,20,12
ENSG00000235098.9,ANKRD65,393,1817,477,818,1219,1298,1190,1828,2130,549,1764,1043,1053,418
ENSG00000225905.1,ANKRD65-AS1,3,16,9,19,7,2,11,12,9,2,35,7,9,5
ENSG00000205116.4,TMEM88B,1,4,0,5,1,1,9,6,2,0,0,2,2,3
ENSG00000225285.1,LINC01770,2,30,4,20,17,8,11,26,14,4,32,9,16,4
ENSG00000179403.12,VWA1,1162,3610,1111,2322,3822,4286,3247,4133,4628,1294,3984,4035,3826,1386
ENSG00000215915.10,ATAD3C,35,90,36,62,67,69,108,87,90,31,51,36,47,25
ENSG00000160072.20,ATAD3B,540,1040,665,761,634,742,794,661,1005,1054,1165,443,680,737
ENSG00000290916.1,lncRNA*26,2,4,2,0,1,0,0,0,1,3,0,0,4,1
ENSG00000284740.3,transcribed_unprocessed_pseudogene*5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,ATAD3A,422,820,639,576,561,629,799,914,1048,987,927,655,709,710
ENSG00000205090.10,TMEM240,9,12,18,17,27,39,6,13,17,12,34,18,36,15
ENSG00000160075.12,SSU72,2537,2255,1782,3069,2495,2659,2474,2621,3027,2688,3264,2670,2712,2533
ENSG00000215014.5,lncRNA*27,11,20,16,23,13,10,27,8,22,24,13,17,12,15
ENSG00000274481.1,processed_pseudogene*3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228594.4,FNDC10,198,399,70,462,187,205,436,271,328,89,459,224,192,156
ENSG00000286989.1,lncRNA*28,5,21,2,38,8,10,25,9,12,4,56,7,8,6
ENSG00000272106.1,lncRNA*29,119,150,84,231,172,166,156,150,171,117,264,161,151,138
ENSG00000197530.13,MIB2,635,1764,996,1085,1134,1355,1103,1547,2032,1305,2505,1187,1366,1027
ENSG00000189409.14,MMP23B,0,0,0,0,0,0,1,2,1,0,0,2,0,0
ENSG00000248333.9,CDK11B,682,892,598,823,460,510,852,931,1215,944,1362,474,560,851
ENSG00000272004.1,lncRNA*30,1,2,0,1,2,4,5,2,3,1,0,4,0,1
ENSG00000189339.12,SLC35E2B,1411,2133,519,2638,873,881,2100,2140,2712,1071,2668,883,900,1144
ENSG00000269737.2,transcribed_processed_pseudogene*3,0,0,1,0,1,0,0,0,1,0,0,0,0,0
ENSG00000215914.4,MMP23A,2,1,0,1,0,1,0,0,1,0,3,1,2,2
ENSG00000008128.23,CDK11A,15,11,13,33,20,26,20,20,23,17,24,10,20,18
ENSG00000268575.1,lncRNA*31,42,53,18,127,37,51,51,43,58,30,129,26,42,36
ENSG00000227775.3,transcribed_processed_pseudogene*4,5,1,0,3,2,0,2,0,0,0,2,3,0,1
ENSG00000290854.1,lncRNA*32,52,81,30,114,29,45,89,69,96,60,73,24,25,40
ENSG00000215790.9,SLC35E2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,NADK,1404,1870,1277,2025,1630,1716,2001,1623,2058,1747,2129,1511,1615,1500
ENSG00000078369.19,GNB1,8952,5920,5849,6122,7363,8300,6437,7710,8674,10293,6775,8062,8051,8802
ENSG00000231050.3,GNB1-DT,0,10,0,9,1,0,15,5,5,1,6,6,0,2
ENSG00000169885.10,CALML6,4,9,0,18,6,8,8,4,18,5,9,0,0,13
ENSG00000178821.13,TMEM52,5,15,2,7,9,6,11,17,19,5,3,2,7,5
ENSG00000142609.20,CFAP74,13,370,0,6,10,12,294,426,556,1,5,8,11,10
ENSG00000233542.2,lncRNA*33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000187730.9,GABRD,0,0,0,4,2,0,2,1,2,0,1,0,0,0
ENSG00000226969.1,PRKCZ-DT,2,0,0,1,0,1,0,0,0,1,1,0,0,0
ENSG00000067606.17,PRKCZ,1303,1093,767,1132,998,1032,1194,1590,1748,1259,1461,1146,1272,1317
ENSG00000271806.1,lncRNA*34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000182873.5,PRKCZ-AS1,8,13,23,7,17,19,6,5,11,19,15,9,12,1
ENSG00000162585.17,FAAP20,387,645,346,486,402,480,522,492,598,505,545,438,379,441
ENSG00000234396.3,lncRNA*35,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000157933.11,SKI,1414,1108,1089,1420,1254,1429,1164,1251,1449,1801,1778,1266,1336,1308
ENSG00000287356.1,lncRNA*36,0,1,2,0,0,0,2,1,1,0,0,3,0,0
ENSG00000116151.14,MORN1,101,270,75,98,118,109,236,282,336,121,119,86,94,95
ENSG00000272161.1,lncRNA*37,0,2,1,0,0,0,3,2,7,0,1,0,0,0
ENSG00000269896.2,transcribed_processed_pseudogene*5,33,73,39,22,35,60,87,58,89,33,33,26,24,25
ENSG00000272420.1,lncRNA*38,1,9,3,3,4,1,3,6,2,5,7,1,1,3
ENSG00000157916.20,RER1,3283,3217,2286,3486,3339,3778,3309,3337,4013,3615,3652,3076,3305,3341
ENSG00000157911.11,PEX10,389,434,385,485,482,444,479,584,646,511,601,543,576,467
ENSG00000149527.18,PLCH2,3065,2948,2487,2931,2577,3611,2213,2028,2839,4207,3968,1919,2554,3261
ENSG00000224387.1,lncRNA*39,0,0,0,2,0,1,0,0,0,1,1,0,0,0
ENSG00000229393.1,lncRNA*40,2,2,2,0,0,0,1,0,1,2,1,1,0,0
ENSG00000157881.16,PANK4,437,509,407,640,506,566,468,492,628,731,718,518,569,451
ENSG00000197921.6,HES5,22,25,6,71,43,54,33,4,10,4,38,18,22,10
ENSG00000272449.3,lncRNA*41,7,81,33,24,51,34,49,44,40,45,37,37,34,19
ENSG00000238164.6,TNFRSF14-AS1,29,87,40,26,10,20,55,27,41,29,23,16,14,29
ENSG00000157873.18,TNFRSF14,864,1576,909,1395,918,1174,1121,888,1153,1148,1514,730,967,878
ENSG00000225931.3,TEC,0,2,2,1,1,2,1,0,2,0,0,1,1,0
ENSG00000228037.1,lncRNA*42,0,1,0,2,1,3,3,1,1,1,1,0,0,4
